1,13464455257015
1,14732564365808
1,12836046075801
1,2612873498935
1,11595870164123
1,10058723434568
1,12961823322791
1,22971611266591
1,15542552042445
1,09278337101234
1,13098170153561
1,10461348649597
1,08467075880847
1,22074756319301
1,20894454735824
1,28861904030196
1,08562629747551
1,09533969322053
1,13588715552235
1,14426001188815
1,16324814261284
1,13568795762407
1,08654207800558
1,14235506268179
1,11566393568054
1,10321633922721
1,21976151996699
1,10315110662911
1,13815200611112
1,22392755196603
1,10031232375147
1,17273115387086
1,563943393221
1,6267082087195
1,53349331953005
2,27464355948906
1,47465121873988
1,40398896918495
1,53955359958116
2,0793969886068
1,66773184263211
1,36906079060353
1,54614254124811
1,4222573079757
1,33341630733584
2,02620210191113
1,95769241960053
2,45400508959677
1,33757966546272
1,38043276970251
1,57001549973603
1,61137227159501
1,7080508639805
1,56904096226995
1,34157853981102
1,60189512013007
1,47327269392405
1,41589881816827
2,02041382878431
1,41560244057408
1,58112641151101
2,04495035257748
1,40274778942331
1,75785999046914
1,51438112641821
1,57070008074098
1,48699993638864
2,1439371451103
1,43397641891211
1,37009930909117
1,49245253307035
1,97261695807081
1,60742577885219
1,33844010755611
1,49837902755141
1,38663522184782
1,30607160378809
1,92574402737503
1,8652453382098
2,30038516095303
1,30985550296676
1,34875408254971
1,51983664753947
1,55695380186294
1,64345733778408
1,51896117091819
1,31348911136703
1,54845430643285
1,43273240499581
1,380881466666
1,92063835598728
1,38061323122708
1,52981538527212
1,94227413376471
1,36897527315212
1,68788550015108
4,3816724738105
4,98993513320803
4,10609985116532
15,1049657913863
3,60821034760217
3,06788652542026
4,15995301429774
11,2294001124927
5,41787682407726
2,8228908684635
4,21906070342257
3,20175141175684
2,58728442183029
10,3080149946163
9,20076621070286
19,4095418843957
2,6140686107224
2,90109915677409
4,43812644526481
4,83620166925669
5,86277448091426
4,42903194461518
2,63997608536392
4,74286830219518
3,59707908180592
3,15470562590697
10,2110518223326
3,15252459211384
4,54273738983174
10,6264865820702
3,05893569932946
6,44680223684264
1,09550388415716
1,10433127375333
1,09111933586711
1,18248911228451
1,08244638416364
1,07165934391629
1,09199745329848
1,16104084214007
1,10995545720176
1,06616691704661
1,09294905570938
1,07448882072376
1,06044562133105
1,15492016498743
1,1468459939643
1,20093694110652
1,06112011667106
